clip_id,reasons,bad_file_count
01b0d806-6c70-4e7b-81c2-1772d8862090,Too small,2
01b38fd8-bf41-4a65-b38c-723457b5e3c7,Too small,2
01b59d4c-4e65-4500-8124-8a7a3ee78abc,Too small,1
01b763c3-14f9-4b2c-ba5d-41d1f662ed73,Too small,1
01b7688c-bb91-4905-8482-501ab94d20f9,Too small,1
01ba447d-9820-4e4a-8e43-f519021befbf,Too small,1
01baf7a7-de09-443d-9701-68687aaff65d,Too small,1
01bd3095-0a19-4ad9-b83e-55312159799c,Too small,2
01c26389-10e4-4a3c-8181-805e92fd0b96,Too small,1
01c6e991-90f7-460b-a208-d5c5c3e2a2a1,Too small,1
01c74a93-7129-4453-91f8-190b3655b287,Too small,1
01ca067d-cd92-422b-b8f4-cfebc7e5e783,Too small,1
01cb9158-fc01-4109-b7e0-bf807d4eca2d,Too small,1
01ce7d1f-4a1c-4894-95ac-6321571094b3,Too small,1
01cf52ca-a4bc-4dad-9056-5a74cff49df6,Too small,1
01d0260a-6bff-4f3d-813f-d64164f822a5,Too small,1
01d29037-8f41-4b29-b89b-0161165ab86a,Too small,1
01de1c5c-16c9-4509-9ff9-123750151adb,Too small,1
01e16870-e9cb-44b7-abbf-fa6dda1e1e00,Too small,1
01e236c4-9de7-4a8a-9105-17675646c73e,Too small,2
01e3418f-f834-4852-9525-597a76ef5f9b,Too small,2
01e9e126-38e5-4bfa-b35c-56bd0b0c3b04,Too small,1
01eb0b7a-3df8-4eeb-87cf-53e35bdb67df,Too small,1
01ee1390-790b-4373-ad50-982ef9ef664c,Too small,1
01f0d207-622c-4477-b5dd-b8dc25b28548,Too small,1
01f13fe7-11e9-4e39-b860-22c05f37501d,Too small,1
01f17dfd-4f4b-47bf-8e13-3b1222b762c2,Too small,1
01f2c2a9-a0ff-4cf4-98c2-3a551b5af5cc,Too small,1
01f47fd7-6f16-4265-bcff-e5e84d1669b1,Too small,2
01f95448-0341-4c46-9fdd-0292637e41b6,Too small,1
01fafc2e-38de-4c08-904a-efe710563ab7,Too small,1
01fbc807-3183-4118-ab5a-3e38224d3108,Too small,1
01fcb092-cc73-4b08-8daf-1bdf82b3ac6b,Too small,1
01fdf647-644c-4df1-a6aa-ca201fab5963,Too small,1
01fe2306-d20d-43f9-a399-c45cd9230940,Too small,2
020104c9-a588-4d9d-9053-4013d2d55980,Too small,2
020a5a34-8f5b-4bec-89a2-f1d5023652e3,Too small,1
020b1f07-0951-4dce-8053-5ba08ceb4b6e,Too small,2
020b55a4-0349-42c6-9d4a-5f8f33eff2ff,Too small,2
020b95f4-30c9-43b0-9f82-e9a48be22c66,Too small,1
020d4d63-af94-4727-a71e-89968906352e,Too small,1
020e0715-1df7-4c84-b184-c4d877494e59,Too small,1
020e7943-127e-457b-9b6d-131bb773f3fa,Too small,1
020f8509-71ed-43c3-9f11-6d01ddb0677f,Too small,1
02180947-da6d-4504-94f3-bcdbd2f0d922,Too small,2
021a068f-8de2-4883-bf92-824e18f77ec0,Too small,1
021a3696-e8d3-459b-97ae-8c8695280247,Too small,1
021b2da0-33d4-455c-b63c-e004da39d63e,Too small,2
02208240-0ea6-4a6c-baa8-7ad85d6a0a57,Too small,2
022428f9-c9b1-411d-842d-ab8b7bf595f0,Too small,1
0226d8db-0450-4c26-aff4-73327d1238fd,Too small,1
0227e4ce-0837-4fb4-b118-598d52896797,Too small,2
0228c2cf-ab59-4937-884b-0f2efe6ce59b,Too small,2
022c0026-0171-4f8f-b11b-d6affb76e942,Too small,2
022d4713-8269-4bf7-bc5d-060a3e0a5b11,Too small,1
0235a1bb-d49c-4993-9bd8-45458702043a,Too small,2
023e9e89-17e0-430b-9a81-d3a9ca8e122e,Too small,2
0240e80a-a1f3-487e-b0a5-761a4f9def80,Too small,2
02411c32-cd18-4f7e-91ea-2f1b4c209945,Too small,1
02498379-28c0-44e9-bff2-5bf4f498f6e7,Too small,1
024d9e30-1d33-47f8-b7f5-4bfad279d6ce,Too small,2
024e7ce4-964b-43c1-89c4-3227451aeea1,Too small,1
0253a345-6d1b-41d8-9a44-f5257c8ab82b,Too small,1
02546e68-28bd-4fcd-8614-dbf19b7b7651,Too small,1
0254cffc-0e2c-46d6-9d45-12b66a028e36,Too small,1
02582a53-d259-4fd4-ba90-3e01525bcd5a,Too small,1
025a7d8f-fac7-4ba5-99be-f36ff7479b66,Too small,1
025b13e9-53be-4709-bffb-724ed1cc0d62,Too small,2
025b23f3-311e-44f0-b08e-c68159cfbe18,Too small,1
025b81dc-adfa-4055-b6c2-3b4b831c302f,Too small,1
025d2da0-f353-4b08-9413-dabeafb9569b,Too small,1
0261c3e6-1478-462c-bddc-14b166af76fc,Too small,1
02624aeb-f0e1-4dcd-ae93-124298691b8e,Too small,1
02673b65-ed59-4f99-8159-e9a815cf91d8,Too small,1
026dd7c1-059a-4a05-87d8-a2bbd065bad1,Too small,2
026e752b-fa94-4e62-8f86-f88875d3afe6,Too small,2
02701d2f-bfe4-4f61-9cd4-99f672ab750a,Too small,2
0272859d-edab-41b3-878a-548522fabb62,Too small,1
02730ead-bc07-42d4-885a-940ce4d50daf,Too small,1
02779152-20fd-436e-a0c8-8105226c9635,Too small,1
027a4e22-dad6-469d-afee-96a68f5a81c2,Too small,1
027a72ee-55a5-45c4-b8be-096ca9178b76,Too small,1
027ceceb-a4e7-4d36-9f49-59dd36e50847,Too small,1
027fe9e9-722c-44d8-972e-327901198a67,Too small,1
0282a230-7f3d-4b65-b209-82044cbce5ce,Too small,2
0283b4fa-f017-403e-89aa-0aff3b0d8898,Too small,1
02859538-4ca5-4ece-8dc0-19558c4d26d0,Too small,1
0285ac5e-5003-4ea0-b2e1-be94f3e4098f,Too small,1
028681d6-c68e-4c5b-8877-f25b2e664ae2,Too small,1
02869248-4970-4d2e-b344-4f487e6d6434,Too small,1
02889cdb-27ac-4ec4-b14d-9ea5855d5660,Too small,1
028a6f9c-05ec-4590-acc7-2afe457dd70d,Too small,2
028beac1-64da-4ed2-b2cc-e492d1e31fdb,Too small,2
028c0eb0-2996-47d7-88b5-c78c60ca59be,Too small,1
028edc3f-771e-4415-b7ff-004fcbd796df,Too small,1
028fa803-bbd3-4f05-b045-bd887f56859e,Too small,1
0290a6f9-5a60-4912-b993-8f1260981946,Too small,1
02924a5c-6394-4ef5-bcf8-a86fe48df65c,Too small,1
0292e1e3-b946-41c0-bb0e-0a8ae860c5a7,Too small,2
02939f9f-f582-41e3-836f-0c739ef576b6,Too small,1
0293b31d-dd34-4db0-a177-ace2a2496acb,Too small,1
0293b40d-eff5-44e2-b0d8-7d8b2fe6ca62,Too small,1
02962780-402d-4940-94f9-8884d550ed61,Too small,1
0298289a-ed86-45bf-83de-2c1063cbf854,Too small,1
029a93e9-1ab3-435f-99a3-497fad0f0775,Too small,1
029baa38-bc87-40cb-bde4-0e326d2837a4,Too small,1
029bb8ef-ed3d-4b1c-897a-b26f175fac9f,Too small,2
02a045d5-4ff1-435a-affc-bae66eec6e7b,Too small,1
02a2230a-3056-4dee-b0bb-ef648b505f10,Too small,2
02a4f68b-bfdd-49f8-bd4a-5a0c31fa7868,Too small,1
02a53af3-c630-4c18-86a3-f145dad12aef,Too small,2
02a55e8d-cff7-466f-b13c-4cff148b2aed,Too small,1
02a8fe69-2e04-4b93-8cce-6b695de4b44e,Too small,1
02aa0d3d-1101-416e-9d10-3d0062cae95d,Too small,1
02b219a2-1e2a-45bb-8272-0d84dba0d710,Too small,1
02b8166c-08d0-47b1-ad58-eb8c415eb54b,Too small,1
02b87615-24c1-49b3-84e8-173bce7b7e4d,Too small,2
02ba2314-072a-4680-bb34-d4eb7e1830a6,Too small,1
02bcce5a-0520-453b-8ef5-c4932df651e8,Too small,1
02c0685d-0eb9-4deb-853b-37fb6acdbdd1,Too small,1
02c25564-de78-4929-80c1-838f95824d7a,Too small,1
02c4284f-1e77-46d5-b825-8e2293eec37a,Too small,1
02c5368a-4604-4b91-8aa0-80392deda64e,Too small,1
02c6ed13-edb2-4442-8afa-6357a27fc0a7,Too small,1
02c7c2b6-c51a-4bf2-bfff-bdfb45f0dbec,Too small,1
02ca12d7-6d61-4cfe-baae-9fe7244bff75,Too small,2
02d06b23-7467-4e47-97d3-5d3f2a4428ba,Too small,1
02d4be86-438a-4e75-903b-4f7c2aeba86b,Too small,1
02d60cd8-d55d-4c57-af13-928f92bad59c,Too small,1
02d7176e-cf8e-4f7b-bbd0-1398908e25c3,Too small,2
02d9e43b-505e-4505-b102-e40546d03cdc,Too small,1
02da53e7-52e5-408c-bcde-3bceece5d7c6,Too small,1
02db3da1-32e9-4054-8e36-d16f9049a30e,Too small,1
02df6751-5d69-4f5e-9cb1-dc1ad5a5e636,Too small,2
02e275f7-d367-46f7-b134-b17f78dc3e55,Too small,1
02e2fb89-e937-4f94-85fa-8ef9892aa90e,Too small,1
02e3eb5a-ed0d-4b01-a291-4bfd77eaf0ae,Too small,1
02e5baf3-3484-4eef-9da5-4064f879d9ed,Too small,1
02ee8e5e-dc5a-4bba-8059-8944ecbfaaa9,Too small,1
02f04568-65d5-473f-8169-453010b7b9c9,Too small,2
02f1fd34-e5bf-4a02-9691-0ed9e7133339,Too small,1
02fa06ff-dd4a-4475-8988-6009822e31b3,Too small,1
02fe7420-3661-46e9-9427-41ac86173a31,Too small,1
02ffee94-ea00-449f-8641-56c9c52a36ec,Too small,1
0303dd54-f7b3-4d91-b529-1ed9acd97cd0,Too small,1
0303f755-19da-4b68-b1bd-7646b5e8a398,Too small,1
030df81e-da83-4e34-aba9-ff133bf71332,Too small,1
030f212d-4e7c-4bc9-9b98-7753ea13b93f,Too small,1
0311225a-63f7-4507-99bd-b7ab8c1b9df3,Too small,2
03119807-68f1-417d-ae2b-dda10f6243a7,Too small,2
0313e172-6541-4617-acae-0c921b2a9e54,Too small,1
03157085-12b0-41c3-8853-c668f0450231,Too small,2
031902f2-8dbe-4fbf-a14c-246da555e248,Too small,1
031935fd-074f-4b19-8838-fc51f14f5cc5,Too small,2
031afc4c-ceca-4550-9f7f-51d628e6d8ce,Too small,1
031d710d-d0bb-4613-96f0-76f660860e33,Too small,1
031f0fce-c39d-4998-9770-2b41e6b5f9bb,Too small,2
031f43e0-049d-4e00-b25d-6770b447f037,Too small,1
031fd36e-49f7-4639-aeae-a5526979426d,Too small,2
0320ea91-b1f1-4dba-afe9-18b0f57a6cb1,Too small,2
03212cd2-02b3-4542-91d5-6ec1e8734faf,Too small,1
0323ce5f-928a-47d4-8b5c-0b4879190dc1,Too small,1
0324ccc5-875e-4cf6-a99d-f0d6e5ad53a3,Too small,1
0324fccb-3636-482d-b224-00d211f99aa3,Too small,1
03268e83-657f-42bf-af83-0467ddb6d8a7,Too small,2
032827ba-261d-47da-8f41-8c34eec25b4c,Too small,1
03284f50-7675-4bae-a619-ff7abc9f5f99,Too small,1
032cf4ff-91f8-4910-a7dd-31d7ed3dbb2e,Too small,2
032d20ee-dba9-4690-8da1-81c7ce1197ec,Too small,2
032eaeff-f4d0-4ea5-93e5-a46381749d3c,Too small,1
0331ce86-36f7-4e86-b8c2-b7d3da416991,Too small,2
03376b7a-fe81-4b50-a79c-81af44c5af0b,Too small,1
033b8be9-d899-4173-b684-ddd0bc35ea94,Too small,1
033bd366-5091-4961-987d-591b026586dc,Too small,1
03411098-d364-4cc3-87db-950abdeb0060,Too small,1
034229b4-4e43-4a26-a778-ddbf80067340,Too small,1
0349a896-2fcf-40a7-b5b7-cd6d6c1160e0,Too small,1
034a87ae-1f65-4476-afd4-5bbdeb8649b3,Too small,1
034aa04a-2991-43aa-82e2-0d76f0c32553,Too small,1
034caf2f-94ef-487c-9ad1-6899c7a35adf,Too small,1
034e308a-48e0-4c60-af05-018a891bfb6c,Too small,1
034ecb18-2d15-4c92-8d1a-952b44e2e53d,Too small,2
035151d0-4ce9-4247-a593-907884574bdc,Too small,2
0359a7cf-58e4-461f-927f-2405e35da6c0,Too small,1
0359aef9-0b0f-4c49-89cd-da686d43fd8e,Too small,1
035ab924-0def-451b-9b30-74a9bea1e4d5,Too small,2
035b24b3-ca68-4de2-8693-c81c6bfac9ef,Too small,1
035bdecc-0258-4ffb-9994-094581c7ea72,Too small,2
035e8236-dd4d-43d9-bf46-da8e31ff521e,Too small,1
035fec95-0d7e-4e17-8f4c-aef7bfc7369a,Too small,1
0360d321-b607-4ce5-b649-64653574ba32,Too small,2
03627915-f0df-4fbb-8d0f-9bb1472605d7,Too small,1
0368c79a-e305-486d-9a9a-1f77499aaa47,Too small,1
036a67d6-8041-40c3-863b-4243619a2fd3,Too small,2
036bc4d2-e218-4362-b55a-72c1019adee2,Too small,1
036bca41-3fc1-4559-a30a-ed0de112c5e7,Too small,1
036ceab9-ff0e-4311-9ac1-d6505fada049,Too small,2
036e0f16-4e37-4b91-a743-07283d971dc0,Too small,1
036f015e-e49a-40f5-83b7-5721d5f180bd,Too small,1
0370df45-5abb-4a8b-9559-e4c930c8868d,Too small,1
